"Int_no";"Rue_1";"Rue_2";"X";"Y"
926;"Haig";"Marseille";301890,;5049419,
927;"Honoré-Beaugrand";"Marseille";302394,;5050589,
928;"Honoré-Beaugrand";"Sherbrooke";302067,;5050732,
929;"Lacordaire";"Sherbrooke";301043,;5048314,
930;"Langelier";"Marseille";301754,;5049098,
931;"Langelier";"Sherbrooke";301433,;5049204,
932;"Liébert";"Sherbrooke";302179,;5050999,
933;"Ormeaux";"Sherbrooke";302445,;5051629,
934;"Pierre-Bernard";"Sherbrooke";302569,;5051926,
935;"Saint-Donat";"Sherbrooke";302276,;5051231,
936;"Sherbrooke";"Taillon";302641,;5052108,
937;"Sherbrooke";"Place Versailles";301805,;5050106,
938;"Sherbrooke";"Trianon";301761,;5049997,
939;"Assomption";"Hochelaga";301700,;5047426,
940;"Assomption";"Pierre-de-Coubertin";301442,;5047549,
941;"Henri-Bourassa Est";"Rodolphe-Forget";299715,;5055150,
942;"Cadillac";"Hochelaga";302005,;5048149,
943;"Curatteau";"Hochelaga";302798,;5050095,
944;"Curatteau";"Tellier";303228,;5049926,
945;"Henri-Bourassa Est";"Marco-Polo";298235,;5053739,
946;"Dickson";"Pierre-de-Coubertin";301571,;5047895,
947;"Fletcher";"Hochelaga";303563,;5052121,
948;"Haig";"Hochelaga";302423,;5049168,
949;"Haig";"Pierre-de-Coubertin";302204,;5049271,
950;"Hector";"Hochelaga";303626,;5052304,
951;"Hochelaga";"Honoré-Beaugrand";302892,;5050371,
952;"Hochelaga";"Hôpital L.-H.-La Fontaine";302737,;5049768,
953;"Saint-Michel";"William-Tremblay";299966,;5045312,
954;"Chemin-des-Moulins";"Pierre-Dupuy int. Ouest";301344,;5038768,
955;"Hochelaga";"Langelier";302298,;5048840,
956;"Hochelaga";"Lapointe";303054,;5050808,
957;"Hochelaga";"Lebrun";303156,;5051052,
958;"Hochelaga";"Liébert";302989,;5050652,
959;"Hochelaga";"Louis-Veuillot";301922,;5047979,
960;"Hochelaga";"Ormeaux des";303254,;5051289,
961;"Hochelaga";"Pierre-Bernard";303381,;5051588,
962;"Hochelaga";"Polyvalente Edouard-Montpetit";302149,;5048484,
963;"Hochelaga";"Taillon";303468,;5051830,
964;"Langelier";"Pierre-de-Coubertin";302059,;5048953,
965;"Louis-Veuillot";"Pierre-de-Coubertin";301670,;5048100,
966;"Bossuet";"Notre-Dame";303049,;5047566,
967;"Boucherville";"Notre-Dame";304129,;5049412,
968;"Cadillac";"Notre-Dame";303076,;5047640,
969;"Duke";"William";300211,;5039723,
970;"Curatteau";"Notre-Dame";304172,;5049550,
971;"Dickson";"Notre-Dame";302962,;5047229,
972;"Futailles";"Notre-Dame";303871,;5048999,
973;"Georges-Bizet";"Notre-Dame";304037,;5050111,
974;"Haig";"Notre-Dame";303628,;5048604,
975;"Hector";"Notre-Dame";303950,;5052223,
976;"Honoré-Beaugrand";"Notre-Dame";304120,;5049833,
977;"Lebrun";"Notre-Dame";303873,;5050748,
978;"Saint-Patrick";"Wellington";300340,;5038786,
979;"Liébert";"Notre-Dame";303993,;5050245,
