"Int_no";"Rue_1";"Rue_2";"X";"Y"
1768;"Saint-Patrick";"7770 Accès garage STM";294150,;5033821,
1769;"Lasalle";"Accès à la Marina";291624,;5032256,
1770;"Bishop-Power";"Lasalle";297304,;5031913,
1771;"Ducas";"Vérendrye de la";296932,;5032940,
1772;"Lapierre";"1111 CEGEP A-Laurendeau";296534,;5032816,
1773;"Jean-Brillion";"Shevchenko";295491,;5032364,
1774;"Newman";"Accès Seagram";293320,;5031831,
1779;"Dollard";"Piste cyclable Pont Latour";295284,;5031391,
1792;"Métropolitain Nord";"Viau";297391,;5048524,
1793;"Lacordaire";"Métropolitain Nord";297812,;5049187,
1799;"Saint-Pierre";"Sortie A-20 (int. Nord)";293257,;5033704,
1811;"La Vérendrye";"Trinitaires";297554,;5033933,
1823;"Maisonneuve";"Saint-Dominique";299729,;5041238,
1869;"Coloniale";"Rachel";298484,;5042115,
1906;"Boyer";"Villeray";295411,;5045022,
1941;"Émile-Nelligan";"Laurentien";287451,;5043247,
2008;"Bennett";"Hochelaga";301270,;5046361,
2021;"Christophe-Colomb";"Henri-Gauthier 30 m au Nord";294504,;5045936,
2028;"Cathédrale";"Notre-Dame";299899,;5039557,
2076;"Querbes";"Van-Horne";296053,;5042655,
2151;"Hochelaga";"Joliette";300785,;5045213,
2167;"Garnier";"Saint-Grégoire";297986,;5043992,
2179;"Saint-Jacques";"Sortie A-20 (int. Nord)";293008,;5033593,
2190;"Jean-Talon";"Viau";298205,;5048339,
2232;"Parc";"Pins";298695,;5041304,
2303;"Chomedey";"Maisonneuve";298241,;5039087,
2363;"Côte-des-Neiges";"Swail";295407,;5039502,
2371;"Assomption";"Sapins des";300122,;5048170,
2376;"Kent";"Victoria";293963,;5039441,
2435;"Beaubien";"Saint-Dominique";296374,;5043445,
2437;"Saint-André";"Saint-Antoine";300700,;5041575,
2465;"Cartier";"Sainte-Catherine";300757,;5042597,
2656;"Saint-André";"Viger";300642,;5041613,
2699;"Chemin du Golf";"Gouin";286915,;5043106,
2850;"Clark";"Maisonneuve (int. Nord)";299600,;5041181,
2869;"Commune de la";"McGill";300668,;5039874,
3028;"Bercy";"Rouen";300520,;5043998,
3046;"Côte-Sainte-Catherine";"Davaar";296152,;5041593,
3060;"Boyer";"Saint-Zotique";296544,;5044304,
3064;"Crescent";"Sherbrooke";298595,;5039896,
3165;"Collège";"Décarie";291121,;5041071,
3231;"Assomption";"Marseille";301235,;5047647,
3308;"Industriel";"Pie-IX";294661,;5049342,
3329;"Bernard";"Outremont";296245,;5042151,
3443;"Bélanger";"Langelier";299521,;5050045,
3471;"Bloomfield";"Van-Horne";295968,;5042527,
3473;"Jean-d'Estrées / Murray";"Notre-Dame";299817,;5039377,
3527;"Papineau";"Ville-Marie";301076,;5042279,
3628;"Chabanel";"Jeanne-Mance";292772,;5044409,
3636;"Chambord";"Saint-Joseph";298362,;5043580,
3686;"Stuart";"Van-Horne";295768,;5042199,
3720;"Beaubien";"De Gaspé";296449,;5043560,
3757;"Clarence-Gagnon";"Notre-Dame";303168,;5047844,
3853;"Bélanger";"Boyer";296276,;5044474,
3936;"Bélanger";"Chatelain";298981,;5048896,
3944;"16 e Avenue";"Rosemont";298750,;5046299,
3983;"Bannantyne";"Église de l'";298883,;5035917,
4005;"55 e Avenue";"François-Cusson";287363,;5035115,
4053;"Courcelette";"Mont-Royal";296471,;5041345,
4081;"McGill";"William & Place Youville";300405,;5039994,
4175;"Carillon";"Notre-Dame";297362,;5036541,
4320;"Bellechasse";"Boyer";297061,;5043974,
4323;"Chabanel";"Saint-Urbain";292930,;5044791,
4387;"Brennan";"Nazareth";300562,;5039456,
4426;"Langelier";"Métropolitain Sud";298737,;5050366,
4427;"Musée";"Sherbrooke";298583,;5039879,
4479;"Henri-Bourassa O / Hymus";"Sortie voie service A-40 dir.E";284025,;5038692,
4481;"Angrignon / Trinitaires des";"Newman";296219,;5034207,
4510;"Gouin";"9650 Ouest Gare Synnybrooke";282576,;5040554,
4582;"Durocher";"Van Horne";296096,;5042722,
4672;"Notre-Dame";"Station Chemin de la(face IGA)";298257,;5037580,
4714;"Papineau";"Approche Sud. P J.-Cartier";300407,;5042731,
4731;"Jarry";"Provencher";296928,;5048183,
4813;"Duke";"Notre-Dame";300014,;5039856,
4852;"Jarry";"Langelier";298432,;5050555,
5229;"Pie-IX";"Prieur";294300,;5049826,
5268;"Bernard";"Bloomfield";296337,;5042297,
5371;"Beaubien";"Boyer";296814,;5044131,
5479;"Inspecteur";"Saint-Maurice";299970,;5039674,
5643;"Albani";"Rosemont";300329,;5049189,
5653;"Van-Horne";"Wiseman";295816,;5042279,
5725;"Lacordaire";"Saint-Zotique";299406,;5049084,
5770;"10 e Avenue";"Notre-Dame";291294,;5032790,
5843;"Fleury";"Pie-IX";294458,;5049613,
5852;"Laurier";"Querbes";297161,;5041952,
5914;"Fleury";"Saint-Michel";293595,;5048871,
6044;"Jean-Talon";"Lacordaire";298503,;5049249,
6152;"Edouard-Montpetit";"Vincent-d'Indy";296033,;5041145,
6155;"Charlevoix";"Rufus-Rockhead";299046,;5037900,
6189;"Carlton";"Côte-des-Neiges";294338,;5040196,
6207;"Forest";"Pie-IX";294372,;5049728,
6283;"Clark";"De Montigny / Maisonneuve";299670,;5041138,
6414;"Henri-Bourassa";"O'Brien";289355,;5042981,
6469;"Monk";"Notre-Dame";296974,;5036300,
6510;"Gouin";"Lacordaire";294415,;5053252,
6735;"Langelier";"Métropolitain Nord";298642,;5050428,
6736;"Jean-Talon";"Langelier";298943,;5050240,
6823;"Langelier";"Maurice-Duplessis";295845,;5053031,
6856;"Outremont";"Van-Horne";295877,;5042384,
6919;"Lajoie";"Outremont";296099,;5042244,
6940;"Henri-Bourassa";"Langelier";296381,;5052312,
7039;"Gouin";"Langelier";295131,;5053995,
7084;"Côte-Sainte-Catherine";"Laurier";297053,;5041793,
7148;"Côte-Sainte-Catherine";"Stuart";296505,;5041716,
7149;"Bélanger";"Lacordaire";299135,;5049212,
7157;"Côte-Sainte-Catherine";"Saint-Joseph";297228,;5041806,
7164;"Fleury";"Récollets des";294294,;5049493,
7195;"Beaubien";"Galeries d'Anjou les";300401,;5050581,
7196;"Cavendish";"Thimens";288672,;5040270,
7197;"Marcel-Laurin";"Saint-Louis";290947,;5040506,
7198;"Bégin";"Thimens";287982,;5039521,
7200;"Félix-Leclerc";"Henri-Bourassa";286459,;5041110,
7201;"Henri-Bourassa";"Thimens";285973,;5040611,
7202;"Poirier";"Thimens";287283,;5039458,
7205;"Dollard";"Vérendrye de la";295241,;5031492,
7207;"Métropolitain Nord";"Provencher";297092,;5047997,
7208;"Métropolitain Sud";"Provencher";297132,;5047969,
7210;"Jean-Milot";"Newman";293878,;5032117,
7211;"Côte-des-Neiges";"4595 (accès cimetière)";296303,;5039561,
7216;"Dickson";"Ontario";302427,;5047481,
7276;"7e Avenue";"Sherbrooke";303653,;5055718,
7721;"Assomption";"Jean-Talon";298493,;5049037,
7733;"Atwater";"Henri-Duhamel / Joseph";299201,;5036940,
7782;"Beaubien";"Roseraies des";300505,;5050754,
7821;"Beaufort de";"Bélanger";299804,;5050671,
7823;"Bélanger";"Daveluy";299482,;5049872,
7824;"Bélanger";"Dumesnil";299424,;5049725,
7825;"Bélanger";"Galeries d'Anjou les";299870,;5050812,
7826;"Bélanger";"Halles des";299775,;5050630,
7828;"Bélanger";"Valdombre";299240,;5049383,
8190;"Côte-Sainte-Catherine";"Vincent-d'Indy";295776,;5041319,
8195;"Claude-Champagne";"Côte-Sainte-Catherine";295960,;5041457,
8201;"Côte-Sainte-Catherine";"Maplewood / Villeneuve";297420,;5041778,
8204;"Côte-Sainte-Catherine";"McEachran";296284,;5041644,
8205;"Côte-Sainte-Catherine";"McNider";297529,;5041763,
8206;"Côte-Sainte-Catherine";"Outremont";296826,;5041771,
8256;"Côte-Vertu";"Décarie";290519,;5041608,
8257;"Décarie";"Decelles";290698,;5041448,
8260;"Décarie";"Église";290857,;5041304,
8263;"Décarie";"Saint-Louis";291318,;5040908,
8335;"Ducharme";"McEachran";295525,;5042146,
8458;"Filion";"Henri-Bourassa";289584,;5043111,
8481;"Cobourg";"Fleury";293876,;5049144,
8483;"Fleury";"Lausanne";293738,;5048992,
8490;"Fleury";"Saint-Vital";293967,;5049251,
8548;"Galt";"Wellington";299551,;5035777,
8549;"Bannantyne";"Galt";298875,;5035820,
8551;"Champlain";"Galt";298594,;5035838,
8553;"Galt";"LaSalle";299875,;5035758,
8554;"Galt";"Verdun";299214,;5035799,
8604;"Gouin";"Saint-Michel";292960,;5049441,
8610;"Alexander";"Gouin";283012,;5040532,
8616;"Audoin";"Gouin";292959,;5049749,
8623;"Belleville de";"Gouin";293038,;5050038,
8638;"Gouin";"Centre-Commercial";280788,;5041267,
8649;"Dollard";"Gouin";281978,;5040734,
8674;"Gouin";"Hortie";283391,;5040769,
8679;"Archevêque l'";"Gouin";293967,;5051738,
8692;"Boulevard le";"Gouin";281038,;5041200,
8696;"Gouin";"Sunnybrooke / Lucerne";282440,;5040596,
8699;"Gouin";"Meighen";280278,;5041265,
8707;"Gouin";"Orléans";283531,;5040848,
8714;"Gouin";"Pierrefonds";279875,;5041128,
8732;"Gouin";"Saint-Jean";277216,;5039356,
8742;"Gouin";"Sainte-Gertrude";294003,;5052063,
8743;"Gouin";"Sainte-Suzanne";283198,;5040647,
8747;"Gouin";"Sources des";279665,;5041010,
8752;"Gouin";"Wilfrid";283763,;5040893,
8755;"2 e Rue";"Gouin";281368,;5041014,
8757;"4 e Avenue";"Gouin";280509,;5041259,
8768;"Grandes-Prairies";"Lacordaire";296066,;5051030,
8771;"Grandes-Prairies";"Pascal-Gagnon";296936,;5052094,
8772;"Grandes-Prairies";"Le Prado";296274,;5051315,
8777;"Grandes-Prairies";"Viau";295590,;5050049,
8788;"Grenet";"Henri-bourassa";288723,;5042591,
8794;"Grenet";"Poirier";289295,;5042103,
8797;"Grenet";"Thimens";289831,;5041604,
8830;"Henri-Bourassa";"Saint-Michel";293069,;5049345,
8832;"Henri-Bourassa";"Toupin";287586,;5041573,
8833;"Albert-Hudon";"Henri-Bourassa";296569,;5052448,
8834;"Alfred";"Henri-Bourassa";294786,;5051558,
8838;"Bellevois";"Henri-Bourassa";294209,;5051281,
8840;"Brabant-Marineau";"Henri-Bourassa";285525,;5040149,
8844;"Miniac de";"Henri-Bourassa";285039,;5039649,
8845;"Désy";"Henri-Bourassa";295645,;5051967,
8847;"Duchesne";"Henri-Bourassa";287738,;5041784,
8848;"Dutrisac";"Henri-bourassa";289738,;5043166,
8851;"Gariépy";"Henri-Bourassa";293610,;5050551,
8852;"Garon";"Henri-Bourassa";293812,;5050899,
8853;"Georges-Pichet";"Henri-Bourassa";294598,;5051467,
8854;"Guenette";"Henri-Bourassa";286139,;5040776,
8855;"Halpern";"Henri-Bourassa";284874,;5039471,
8860;"Henri-Bourassa";"Jean-Meunier";295158,;5051735,
8861;"Henri-Bourassa";"Jules-Poitras";290388,;5043299,
8862;"Archevêque l'";"Henri-Bourassa";294274,;5051312,
8863;"Henri-Bourassa";"Lacordaire";295441,;5051870,
8868;"Henri-Bourassa";"Leblanc";293154,;5049633,
8870;"Henri-Bourassa";"Londres";288954,;5042736,
8871;"Henri-Bourassa";"MacQueen";286942,;5041352,
8872;"Henri-Bourassa";"Marette";287098,;5041360,
8873;"Henri-Bourassa";"Mère Anselme / Parc-Georges";293240,;5049886,
8884;"Henri-Bourassa";"Rolland";296006,;5052139,
8885;"Henri-Bourassa";"Rome de";293417,;5050220,
8888;"Henri-Bourassa";"Saint-Vital";293341,;5050091,
8889;"Henri-Bourassa";"Sainte-Colette";295110,;5051712,
8890;"Henri-Bourassa";"Sainte-Gertrude";294483,;5051412,
8891;"Henri-Bourassa";"Salk";294916,;5051620,
8892;"Henri-Bourassa";"Sartelon";286792,;5041345,
8893;"Henri-Bourassa";"Sorbone de la";289140,;5042849,
8895;"Henri-Bourassa";"Valiquette";285396,;5040017,
8896;"Henri-Bourassa";"Vermandère Place";287349,;5041372,
8944;"Aimé-Renaud";"Jarry";297815,;5049598,
8948;"Béarn du";"Jarry";298169,;5050157,
8951;"Champ d'eau";"Jarry";298750,;5051052,
8957;"Jarry";"Ligneris de";297380,;5048905,
8961;"Galeries d'Anjou les";"Jarry";298915,;5051341,
8964;"Jarry";"Jean-Nicolet (Aunis)";297422,;5048977,
8969;"Jarry";"Malouin";298015,;5049916,
8971;"Jarry";"Nice";297088,;5048450,
8973;"Jarry";"Pascal-Gagnon";298674,;5050932,
8976;"Jarry";"Ray-Lawson";299936,;5052991,
8977;"Jarry";"Salette de la";298150,;5050125,
8979;"Jarry";"Viau";297206,;5048637,
9006;"Jean-Rivard";"Provencher";296647,;5048548,
9014;"Jean-Rivard";"Viau";296954,;5048797,
9016;"Jean-Talon";"Provencher";297974,;5047912,
9019;"Buies";"Jean-Talon";298072,;5048089,
9025;"Dollier";"Jean-Talon";298355,;5048704,
9028;"Galeries d'Anjou les";"Jean-Talon";299422,;5051030,
9029;"Halles Est des";"Jean-Talon";299323,;5050853,
9030;"Jean-Talon";"Lisieux";298410,;5048834,
9031;"Jean-Talon";"Mainville";298515,;5049434,
9032;"Jean-Talon";"Michelet";298270,;5048495,
9034;"Jean-Talon";"Valdombre";298640,;5049683,
9036;"Jean-Talon";"Villanelle de la";298743,;5049893,
9137;"Bombardier";"Langelier";297484,;5051107,
9139;"Couture";"Langelier";296950,;5051511,
9141;"Blainville de";"Langelier";298162,;5050690,
9142;"Langelier";"Lotbinière de";299235,;5050144,
9145;"Langelier";"Lavoisier";297188,;5051307,
9146;"Langelier";"Léger";295315,;5053747,
9149;"Langelier";"Magloire";298038,;5050749,
9151;"Langelier";"P,-E.-Lamarche";297769,;5050923,
9155;"Langelier";"Robert";297962,;5050799,
9182;"75 e Avenue";"Airlie / Vérendrye de la";294611,;5031180,
9183;"Shevchenko";"Vérendrye de la";296211,;5032240,
9185;"Lapierre";"Vérendrye de la";296734,;5032722,
9294;"Désy";"Maurice-Duplessis";295203,;5052560,
9297;"Lacordaire";"Maurice-Duplessis";295027,;5052431,
9304;"Maurice-Duplessis";"Rolland";295516,;5052790,
9368;"Nazareth";"Notre-Dame";299990,;5039788,
9452;"Amiens d'";"Pie-IX";294226,;5049925,
9454;"Castille de";"Pie-IX";294078,;5050127,
9455;"Charleroi de";"Pie-IX";293931,;5050325,
9458;"Larin";"Pie-IX";294556,;5049480,
9460;"Majeau";"Pie-IX";294521,;5049527,
9461;"Martial";"Pie-IX";293983,;5050254,
9462;"Monselet";"Pie-IX";294142,;5050039,
9500;"Prieur";"Saint-Michel";293383,;5049063,
9516;"Prieur";"Saint-Vital";293808,;5049462,
9538;"Lionel-Groulx";"Provencher";296059,;5049256,
9542;"Provencher";"Robert";296363,;5048908,
9675;"Monselet";"Saint-Michel";293160,;5049263,
9676;"Mont-Joli";"Saint-Michel";293836,;5048651,
9684;"Lapierre";"Saint-Patrick";294312,;5033908,
9703;"Galeries d'Anjou les";"Saint-Zotique";300156,;5050697,
9824;"Davaar";"Van-Horne";295624,;5041984,
9825;"Dollard";"Van-Horne";295717,;5042129,
9828;"Hartland";"Van-Horne";295484,;5041760,
9829;"McEachran";"Van-Horne";295670,;5042054,
9830;"Pratt";"Van-Horne";295388,;5041597,
9831;"Rockland";"Van-Horne";295578,;5041907,
9860;"Beatty";"LaSalle / Wellington";299471,;5034519,
9861;"Desmarchais";"Wellington";299499,;5034965,
9862;"Église de l'";"Wellington";299558,;5035873,
9864;"Gilberte-Dubé";"Wellington";299802,;5036797,
9865;"Hickson";"Wellington";299574,;5036110,
9872;"Wellington";"Willibord";299532,;5035483,
9873;"Wellington";"Woodland";299482,;5034714,
9876;"5 e Avenue";"Wellington";299511,;5035130,
9888;"Vincent-d'Indy";"Willowdale";295931,;5041213,
9994;"Loire de la";"Voie serv. A-40 Est";300088,;5052382,
10027;"Bombardier";"L-H-Lafontaine (dir.Sud)";298460,;5052352,
10033;"Larrey";"L-H-Lafontaine (dir.Sud)";297924,;5052600,
10039;"L-H-Lafontaine (dir.Sud)";"Roseraies des";300145,;5051297,
10045;"Albert-Hudon";"Léger";295496,;5053880,
10194;"90 e Avenue";"Airlie";293722,;5031467,
10271;"Alexis-Nihon";"Côte-Vertu";289752,;5040740,
10275;"Alexis-Nihon";"Église";290081,;5040447,
10285;"Alexis-Nihon";"Saint-Louis";290527,;5040024,
10288;"Alexis-Nihon";"Thimens";289368,;5041082,
10295;"Alfred";"Charleroi de";295084,;5051159,
10397;"Alsace de l'";"Galeries d'Anjou les";298429,;5051639,
10437;"Amiens d'";"Armand-Lavergne";294599,;5050208,
10450;"Amiens d'";"Industriel";295513,;5050850,
10453;"Amiens d'";"Pelletier";294498,;5050131,
10471;"Amos d'";"Jean-Meunier";295264,;5051589,
10475;"Amos d'";"Lacordaire";295530,;5051753,
10596;"Antoine-Faucon";"Saint-Charles";276147,;5035666,
10690;"Armand-Lavergne";"Castille de";294456,;5050401,
10691;"Armand-Lavergne";"Charleroi de";294314,;5050590,
10738;"Arthur-Péloquin";"Viau";296846,;5048896,
10971;"Bannantyne";"Woodland";298806,;5034754,
10976;"5 e Avenue";"Bannantyne";298835,;5035172,
11010;"Barré";"Côte-Vertu";291069,;5042201,
11164;"Beaudet";"Marcel-Laurin";290568,;5040734,
11176;"Beaulac";"Côte-Vertu";288683,;5039543,
11178;"Beaulac";"Poirier";287946,;5040212,
11179;"Beaulac";"Thimens";288309,;5039884,
11251;"Bédard / Hardy";"Dollard";294037,;5032579,
11283;"Bégin";"Côte-Vertu";288361,;5039179,
11284;"Bégin";"Poirier";287617,;5039852,
11478;"Bertrand";"Côte-Vertu";289428,;5040381,
11679;"Bombardier";"Champ d'eau";297822,;5051627,
11680;"Bombardier";"Colbert";298586,;5052555,
11682;"Bombardier";"Galeries d'Anjou Les";298054,;5051869,
11687;"Bombardier";"Pascal-Gagnon";297731,;5051484,
11688;"Bombardier";"Renaude-Lapointe";298323,;5052131,
11812;"Bourdaloue";"Lacordaire";298772,;5049266,
11839;"Bourgoin";"Côte-Vertu";289579,;5040545,
12139;"Burel / Cannes";"Viau";297983,;5048388,
12315;"Cardinal";"Côte-Vertu";290373,;5041443,
12453;"Cavendish";"Côte-Vertu";289041,;5039940,
12455;"Cavendish";"Dr.Frédéric-Philip";289185,;5039685,
12456;"Cavendish";"Griffith";289794,;5038939,
12457;"Cavendish";"Poirier";288290,;5040627,
12569;"Gaétan-Laberge";"Gilberte-Dubé";299956,;5036717,
12598;"Champ d'eau";"Pascal-Gagnon";298926,;5051002,
12623;"Champlain";"Gagné";296005,;5031872,
12625;"Champlain";"Gérald";297123,;5033000,
12635;"Champlain";"Raymond";295850,;5031729,
12642;"Champlain";"Woodland";298379,;5034776,
12651;"4 e Avenue / 5 e Avenue";"Champlain";298573,;5035249,
12691;"Charleroi de";"Drapeau";294462,;5050699,
12695;"Charlevoi de";"Garon";294129,;5050472,
12700;"Charleroi de";"Jean-Meunier";295406,;5051399,
12702;"Archevêque l'";"Charleroi de";294637,;5050827,
12703;"Charleroi de";"Lacordaire";295659,;5051581,
12710;"Charleroi de";"Sainte-Gertrude";294818,;5050961,
12711;"Charleroi de";"Salk";295196,;5051244,
12785;"Châteauneuf";"Roi-René";300492,;5052496,
13073;"Clément";"Lafleur";293363,;5032581,
13076;"Clément";"Oblats des";292993,;5032693,
13090;"Cléroux";"O'Brien";289598,;5042761,
13141;"Collège";"Marcel-Laurin";290716,;5040616,
13145;"Collège";"Saint-Germain";291215,;5041178,
13146;"Collège";"Sainte-Croix";291330,;5041307,
13214;"Codner / Laplante";"Dollard";293974,;5032659,
13258;"Côte-de-Liesse";"Montée-de-Liesse Bowling Laure";288746,;5037633,
13268;"Côte-de-Liesse";"Sainte-Croix";292046,;5040905,
13279;"Côte-Vertu";"Place Côte-Vertu";288841,;5039718,
13280;"Côte-Vertu";"Crevier";290317,;5041376,
13281;"Côte-Vertu";"Duguay / Hill";289344,;5040283,
13282;"Côte-Vertu";"Dutrisac";290949,;5042068,
13283;"Côte-Vertu";"Gohier";290451,;5041531,
13284;"Côte-Vertu";"Grimard";291536,;5043067,
13285;"Côte-Vertu";"Hocquart";289196,;5040116,
13286;"Côte-Vertu";"Jules-Poitras";291444,;5042867,
13288;"Côte-Vertu";"Lebeau";291614,;5043220,
13289;"Côte-Vertu";"Leduc";290216,;5041266,
13290;"Côte-Vertu";"Marlatt";289955,;5040972,
13291;"Côte-Vertu";"Montpellier";291215,;5042361,
13292;"Côte-Vertu";"Muir";291351,;5042666,
13293;"Côte-Vertu";"O'Brien";290692,;5041784,
13295;"Côte-Vertu";"Pitfield";287359,;5038071,
13298;"Côte-Vertu";"Saint-Amour";287496,;5038221,
13300;"Côte-Vertu";"Saint-Germain";290615,;5041713,
13322;"Courval";"Hicmore";289458,;5036691,
13332;"Couture";"Lacordaire";296319,;5050749,
13342;"Couture";"Pascal-Gagnon";297293,;5051757,
13350;"Couture";"Viau";295864,;5049873,
13361;"Crawford";"LaSalle";298347,;5033123,
13365;"Jules-Poitras";"Sortie A-15 dir. Sud / Crépeau";290595,;5043223,
13435;"D'Artagnan";"Viau";296782,;5049017,
13523;"David-Boyer";"Dollard";294687,;5032002,
13643;"Décarie";"Deguire";289903,;5042179,
13644;"Décarie";"Poirier";289655,;5042404,
13645;"Décarie";"Rochon";290333,;5041785,
13646;"Décarie";"Tassé";290118,;5041977,
13653;"Decelles";"Marcel-Laurin";290284,;5040986,
13660;"Decelles";"Sainte-Croix";290905,;5041681,
13671;"Deguire";"O'Brien";290056,;5042347,
13738;"Desmarchais";"LaSalle";299651,;5034953,
13739;"Desmarchais";"Verdun";299162,;5034985,
13805;"Dion";"Sainte-Croix";291856,;5040994,
13828;"Dollard";"Elmslie";293651,;5033083,
13829;"Dollard";"Gloria";294344,;5032236,
13831;"Dollard";"Jean-Brillon";294951,;5031822,
13834;"Dollard";"Réjane";294507,;5032126,
13837;"Dollard";"Salley";295131,;5031697,
14105;"Duval / Saint-Denis";"Saint-Charles";275613,;5036257,
14209;"Église";"Marcel-Laurin";290440,;5040847,
14214;"Église";"Saint-Germain";290955,;5041407,
14215;"Église";"Sainte-Croix";291073,;5041533,
14226;"Église de l'";"LaSalle";299836,;5035857,
14229;"Église de l'";"Verdun";299220,;5035897,
14384;"Esther-Blondin";"Pierrefonds";276845,;5038485,
14628;"Fortin";"Léger";294835,;5053226,
14677;"Fredmir";"Pierrefonds";278353,;5040130,
14713;"Galets des";"Lacordaire";297348,;5049559,
14983;"Gratton";"Saint-Louis";290686,;5040223,
15079;"Guy-Bouchard";"Newman";296039,;5034006,
15093;"Halpern";"Saint-François";285797,;5038266,
15139;"Harry-Worth";"Pierrefonds";276943,;5038718,
15140;"Harry-Worth";"Saint-Jean";277431,;5038840,
15202;"Henri-Duhamel";"LaSalle";299364,;5036933,
15205;"Henri-Duhamel";"Verdun";299285,;5036932,
15238;"Hicmore";"Liesse Montée de";289523,;5036867,
15243;"Hickson";"LaSalle";299713,;5036100,
15281;"Hodge";"Sainte-Croix";291720,;5041055,
15297;"Honoré-Mercier";"Lacordaire";296579,;5050583,
15371;"Industriel";"Jean-Meunier";295595,;5051139,
15372;"Archevêque l'";"Industriel";295141,;5050149,
15384;"Industriel";"Récollets des";294549,;5049153,
15386;"Industriel";"Saint-Vital";294334,;5048812,
15404;"J.-B.-Martineau";"Meaux";294928,;5049606,
15423;"Jacques-Bizard";"Pierrefonds";276477,;5038106,
15447;"23e Avenue_Jean-B-Deschamps";"Hickmore_Louis-A-Amos";289215,;5036423,
15480;"Jean-Milot";"Lafleur";293276,;5032311,
15489;"Jean-Nicolet";"Viau";296756,;5049178,
15531;"Jolicoeur";"Saint-Jean";277543,;5038616,
15701;"Archevêque l'";"Léger";294128,;5051522,
15734;"Lacharité";"Lasalle";297974,;5032665,
15738;"Lacordaire";"Lafourcade";297006,;5050117,
15739;"Lacordaire";"Lavoisier";296838,;5050372,
15743;"Lacordaire";"Renoir / Narcisses";295369,;5051955,
15744;"Lacordaire";"Paimpol";298102,;5049094,
15747;"Lacordaire";"Renty de";297159,;5049863,
15748;"Lacordaire";"Robert";297229,;5049729,
15765;"Lafleur / LaSalle";"Wellington";299604,;5036412,
15915;"LaSalle";"Rielle";299860,;5035560,
15918;"LaSalle";"Stratmore";299548,;5036532,
15920;"LaSalle";"Stephens";298800,;5033762,
15927;"LaSalle";"Woodland";299517,;5034715,
15982;"Laval";"Marcel-Laurin";288743,;5042363,
16002;"Lavoisier";"Viau";296162,;5049682,
16042;"Léger";"Rolland";295010,;5053468,
16043;"Léger";"Sainte-Colette";294503,;5052444,
16044;"Léger";"Sainte-Gertrude";294215,;5051776,
16045;"Léger";"Salk";294433,;5052273,
16092;"Chemin Saint-François";"Liesse Montée de";287234,;5038729,
16115;"Lise";"Newman";294722,;5032609,
16193;"Lucien-Thimens Place";"Marcel-Laurin";289827,;5041393,
16234;"Oakwood";"Saint-Charles";275944,;5035878,
16238;"Maisonneuve Provigo";"Sainte-Croix";291667,;5041078,
16283;"Marcel-Laurin";"Poirier";289181,;5041973,
16525;"Monselet";"Saint-Vital";293651,;5049676,
16660;"Newman";"Shevchenko";294629,;5032507,
16661;"Newman";"Thierry";294985,;5032955,
16662;"90 e Avenue";"Newman";293931,;5032140,
16663;"Newman";"Accès Vichy";295646,;5033624,
16704;"Notre-Dame";"Saint-Joseph";292960,;5033458,
16705;"Notre-Dame";"Saint-Pierre (Lachine)";293298,;5033607,
16729;"O'Brien";"Poirier";289835,;5042543,
16730;"O'Brien";"Rochon";290492,;5041955,
16732;"O'Brien";"Tassé";290272,;5042150,
16776;"Ouellette";"Saint-Jacques";293459,;5033977,
16793;"Pascal-Gagnon";"P.-E.-Lamarche";298020,;5051306,
16803;"Paiement";"Pierrefonds";276274,;5037885,
16846;"Patricia";"Poirier";289411,;5042232,
16878;"Perron";"Pierrefonds";278647,;5040286,
16909;"Pierrefonds";"René-Émard";277446,;5039313,
16911;"Pierrefonds";"Richmond";277719,;5039589,
16913;"Pierrefonds";"Saint-Charles";275431,;5036614,
16914;"Pierrefonds";"Saint-Jean";277299,;5039151,
16916;"Pierrefonds";"Saint-Pierre";276683,;5038290,
16917;"Pierrefonds";"Sainte-Anne";275793,;5037407,
16918;"Pierrefonds";"Sources des";279802,;5040810,
16919;"Pierrefonds";"Westpark";279097,;5040467,
16940;"Émile-Bélanger";"Poirier";287778,;5040028,
16984;"1 ere Avenue";"Provost";291920,;5033578,
16985;"10 e Avenue";"Provost";291273,;5033574,
16996;"25 e Avenue";"Provost";290211,;5033562,
17000;"32 e Avenue";"Provost";289729,;5033569,
17058;"Ray-Lawson";"Sciences des";300073,;5052916,
17141;"Robert";"Viau";296609,;5049394,
17235;"10 e Avenue";"Saint-Antoine";291275,;5033370,
17249;"32 e Avenue";"Saint-Antoine";289751,;5033330,
17290;"Saint Jacques";"Saint-Pierre";293207,;5033756,
17322;"45 e Avenue";"Saint-Joseph";288699,;5032978,
17335;"Saint-Jacques / St-Joseph";"Sortie A-20 (int. Sud)";292950,;5033537,
17345;"10 e Avenue";"Saint-Louis";291294,;5032643,
17351;"6 e Avenue";"Saint-Louis";291553,;5032636,
17462;"55 e Avenue";"Sherbrooke";287630,;5033894,
17593;"Thimens";"Todd";288823,;5040456,
17614;"Valéry";"Viau";296467,;5049486,
17624;"Verdun";"Willibrod";299193,;5035502,
17625;"Verdun";"Woodland";299145,;5034735,
17630;"5 e Avenue";"Verdun";299173,;5035151,
17635;"Viau";"Viterbe";297791,;5048341,
17652;"32 e Avenue";"Victoria";289768,;5033047,
17674;"55 e Avenue";"Victoria";287647,;5033841,
